,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
AF02_SUR.bmp,0.62529397,0.5428172,0.064861216,0.56964624,0.22004338,0.0,0.18896057,0.022892492,0.0,0.10965318,0.32810828,0.30124256,0.2712265,1.0,0.4708417,0.011238498,0.9999802,0.9118387,0.2560339,0.087746345
AF03_AC.bmp,0.39229497,0.13480446,0.8148209,0.32502332,0.12745725,1.0,0.09396277,0.1506176,1.0,0.033684738,0.468875,0.48225564,0.52022886,0.0,0.45967767,0.6107077,0.20719108,0.36850527,0.17155565,0.054740753
AF03_AO.bmp,0.33353266,0.1287063,0.8577671,0.34660769,0.27040672,1.0,0.39183035,0.89715254,1.0,0.18409507,0.6340515,0.36028835,0.24057136,1.0,0.30862924,0.010229157,0.9999846,0.8559015,0.053450223,0.02377656
AF03_CC.bmp,0.54137033,0.1930873,0.1129181,0.32061595,0.21731582,0.0,0.09386067,0.10825987,1.0,0.13186748,0.5291359,0.43505207,0.49851182,0.0,0.38287774,0.6643957,0.004466374,0.10707201,0.35899886,0.029783841
AF03_CO.bmp,0.4444584,0.22472098,0.10508998,0.32063323,0.25128826,0.0,0.074063964,0.0632731,1.0,0.270236,0.6749885,0.4975512,0.5677757,0.0,0.45871925,0.4333247,0.62801456,0.29828227,0.31055015,0.041127842
AF03_DC.bmp,0.4668778,0.19455166,0.80285054,0.29559013,0.1423209,1.0,0.19780068,0.22430566,0.0,0.030315923,0.41905358,0.9400784,0.6684364,0.0,0.67046547,0.7011786,0.22925717,0.27963418,0.5574746,0.11109246
AF03_DO.bmp,0.27878654,0.10155566,0.8116235,0.22823149,0.7231559,1.0,0.8062199,0.83357567,1.0,0.5443122,0.6148555,0.6607731,0.18765767,1.0,0.36029732,0.0074110036,0.9999025,0.9442651,0.05871375,0.81867784
AF03_FC.bmp,0.8530213,0.27270335,0.29233685,0.47846133,0.13390079,0.0,0.1150055,0.010969225,0.0,0.22901806,0.42882213,0.91015637,0.6797814,0.0,0.68740004,0.6831615,0.97276175,0.42115986,0.7769778,0.026633153
AF03_FO.bmp,0.76236075,0.5500133,0.2460411,0.43384355,0.17496327,0.0,0.09834008,0.6188249,0.0,0.16492836,0.36528236,0.7730484,0.62846416,1.0,0.5735338,0.17812337,0.98921937,0.8837177,0.15290101,0.04641118
AF03_HC.bmp,0.4910665,0.25566143,0.057317927,0.23845133,0.69579285,0.0,0.2552123,0.16553356,1.0,0.9170687,0.70198417,0.35915092,0.6228565,1.0,0.5982591,0.6008919,0.658053,0.23179246,0.09832015,0.10626216
AF03_HE.bmp,0.63657576,0.4633302,0.1188728,0.38225293,0.8820787,1.0,0.24532908,0.9912581,1.0,0.9803371,0.72748244,0.26801693,0.19028579,1.0,0.26357728,0.020146204,0.9963058,0.6738179,0.17026708,0.023270492
AF03_HO.bmp,0.4359586,0.365821,0.060268495,0.24536562,0.917689,1.0,0.5805206,0.9780385,0.0,0.9801732,0.7897811,0.09797127,0.135722,1.0,0.18988262,0.0844778,0.999801,0.83455104,0.13005522,0.06214295
AF03_NC.bmp,0.6361775,0.22374271,0.16389473,0.31959152,0.117569365,0.0,0.070751,0.0021209195,1.0,0.053635392,0.45382997,0.5473246,0.47502762,0.0,0.36142626,0.41652927,0.050965894,0.17664894,0.47547927,0.021354165
AF03_NO.bmp,0.49124053,0.19858655,0.16077736,0.32044035,0.17772157,0.0,0.07020384,0.020414617,1.0,0.05607838,0.4871783,0.3167895,0.59070885,0.0,0.32994288,0.49985376,0.056465726,0.14425234,0.17856058,0.043942593
AF03_SC.bmp,0.6482554,0.2322368,0.625115,0.26897177,0.10500825,0.0,0.13677299,0.096286364,1.0,0.04690013,0.3440131,0.7975054,0.7616019,0.0,0.3936062,0.6746808,0.2859592,0.07142602,0.064709105,0.15266569
AF03_SO.bmp,0.70186454,0.24648349,0.5626721,0.21639208,0.82146406,1.0,0.7155654,0.9169754,1.0,0.96902645,0.90935165,0.27364987,0.23386423,1.0,0.24282669,0.100834474,0.9997843,0.7067444,0.21075638,0.4211234
AF03_SUR.bmp,0.82957375,0.5486587,0.11746529,0.4301839,0.25066978,0.0,0.18162538,0.2657394,1.0,0.21247986,0.19675542,0.6487447,0.23575054,1.0,0.26619905,0.010474428,0.9999671,0.8988773,0.018025486,0.048831128
AF05_AC.bmp,0.80778676,0.31470656,0.8421844,0.34081995,0.08301353,0.0,0.09277104,0.0140436,0.0,0.02307436,0.17164488,0.50608873,0.5420079,0.0,0.30710188,0.3014279,0.07365783,0.16963284,0.28503215,0.02479326
AF05_AO.bmp,0.7712416,0.19824798,0.8834822,0.30919707,0.25608456,0.0,0.077474505,0.15968557,0.0,0.09819352,0.22618686,0.32585943,0.39880762,1.0,0.19337972,0.021909269,0.99961746,0.9375692,0.072096236,0.047725145
AF05_CC.bmp,0.78109884,0.52138,0.2567275,0.6652078,0.09421982,0.0,0.068273775,0.13796826,0.0,0.07511092,0.27269134,0.18886352,0.64583033,0.0,0.4387532,0.3428217,0.35334507,0.3095228,0.32714903,0.033084262
AF05_CO.bmp,0.81565857,0.42697978,0.20504785,0.6501698,0.08164354,0.0,0.068724334,0.002503299,0.0,0.0289375,0.23529467,0.22358784,0.43705052,0.0,0.23487622,0.21979262,0.78176826,0.49749622,0.43569222,0.029806253
AF05_DC.bmp,0.8156869,0.25452372,0.74333405,0.5496158,0.17769445,0.0,0.09873699,0.014660878,0.0,0.11847007,0.2991943,0.6232904,0.65269434,0.0,0.48278692,0.35665601,0.83983225,0.4483842,0.4763621,0.030841451
AF05_DO.bmp,0.77856606,0.64168096,0.6926535,0.6321127,0.12654133,0.0,0.07984812,0.78565514,1.0,0.07278072,0.25679,0.42529935,0.4491442,1.0,0.5394603,0.102130175,0.99906,0.72878444,0.21816525,0.039225347
AF05_FC.bmp,0.9005004,0.6948532,0.09794858,0.638714,0.06888149,0.0,0.08908006,0.006547361,0.0,0.01959063,0.12223827,0.41710934,0.57558703,0.0,0.5291306,0.32399255,0.8391216,0.23863521,0.28027526,0.03353888
AF05_FO.bmp,0.89018303,0.8688005,0.0767071,0.66969514,0.16409972,0.0,0.07327584,0.020315414,0.0,0.08931292,0.11902079,0.35596922,0.40531334,1.0,0.29308993,0.034657296,0.9967722,0.7619032,0.13402131,0.083824374
AF05_HC.bmp,0.7908995,0.50674546,0.12209758,0.6636833,0.54697317,0.0,0.1609356,0.452785,0.0,0.7652159,0.6958905,0.62501204,0.49889767,1.0,0.57993245,0.3250183,0.45487604,0.27917147,0.29222766,0.027330838
AF05_HE.bmp,0.74129236,0.5885785,0.094830975,0.638476,0.7546991,1.0,0.21513554,0.93122405,1.0,0.95131207,0.5464288,0.109141774,0.2978029,1.0,0.1929541,0.028903345,0.99926895,0.57944494,0.03230691,0.023606662
AF05_HO.bmp,0.6433755,0.50232446,0.2078625,0.63094944,0.77266306,0.0,0.23370409,0.976121,1.0,0.9529238,0.40618297,0.12535928,0.30778483,1.0,0.15283087,0.016894832,0.9990513,0.5350627,0.26943138,0.02882931
AF05_NC.bmp,0.69402516,0.6764742,0.21831875,0.5875737,0.08808347,0.0,0.07130682,0.0013168863,0.0,0.031265937,0.24705411,0.19669124,0.4850039,0.0,0.3622701,0.41459465,0.12953773,0.36461848,0.37662935,0.035379194
AF05_NO.bmp,0.7315946,0.53235126,0.55910784,0.6069311,0.07850684,0.0,0.07494951,0.037210815,0.0,0.04139099,0.13955973,0.20530473,0.47266656,0.0,0.33410653,0.20775358,0.7224347,0.38008505,0.4177349,0.03896792
AF05_SC.bmp,0.916921,0.5902201,0.34790316,0.62842315,0.07516023,0.0,0.076655395,0.019173084,0.0,0.038872335,0.113609605,0.5670381,0.52696306,0.0,0.31673974,0.3492813,0.5522721,0.1468253,0.51995796,0.031285547
AF05_SO.bmp,0.88241625,0.52902174,0.5809149,0.6290849,0.07696006,0.0,0.090191275,0.04906084,0.0,0.023015719,0.11388794,0.40975755,0.53746974,0.0,0.35285082,0.24616659,0.71333456,0.32448143,0.4727098,0.07205582
AF05_SUR.bmp,0.8838097,0.78286725,0.14163685,0.6544341,0.1799052,0.0,0.09685681,0.30002975,0.0,0.23879972,0.11725355,0.40306005,0.37532473,1.0,0.5750973,0.02805631,0.9978331,0.94207406,0.27372447,0.07592195
AF06_AC.bmp,0.64561605,0.60984576,0.25663695,0.4920889,0.42576852,1.0,0.1707568,0.2526341,1.0,0.5113218,0.5459493,0.6297142,0.7561021,0.0,0.6312797,0.50534385,0.6146112,0.65000814,0.22911058,0.045699507
AF06_AO.bmp,0.4021305,0.28499833,0.18266346,0.40511924,0.7384552,1.0,0.5296514,0.96544945,1.0,0.9063627,0.53286403,0.4467328,0.2580192,1.0,0.42269614,0.01068636,0.99964404,0.74655235,0.07264178,0.02739385
AF06_CC.bmp,0.77545977,0.43019086,0.31575072,0.5347907,0.100717455,0.0,0.074416906,0.13674682,1.0,0.070374504,0.17276369,0.50083286,0.501145,0.0,0.31364456,0.220854,0.9817012,0.4292307,0.21488023,0.03903441
AF06_CO.bmp,0.6686026,0.36229578,0.0942328,0.36643925,0.26702473,0.0,0.077217415,0.47958207,1.0,0.31720623,0.29621604,0.7653751,0.3704364,1.0,0.4962511,0.11102557,0.99621683,0.80872875,0.13584511,0.04835655
AF06_DC.bmp,0.592626,0.05931363,0.9299393,0.2183865,0.36803013,0.0,0.6990197,0.03474147,1.0,0.10395658,0.14962558,0.4976425,0.7133538,0.0,0.52544135,0.50428843,0.142828,0.37668204,0.26599395,0.6668134
AF06_DO.bmp,0.69436514,0.12519601,0.96690536,0.2639159,0.55949086,1.0,0.74885434,0.06471275,1.0,0.0870062,0.21063513,0.513606,0.23973279,1.0,0.5408203,0.007082274,0.9999454,0.9315134,0.102588125,0.8883966
AF06_FC.bmp,0.8784133,0.79836816,0.18127452,0.58107644,0.09366082,0.0,0.081277765,0.001979015,0.0,0.018452978,0.137136,0.65993875,0.4941043,0.0,0.37049383,0.15628164,0.07260247,0.14056455,0.62493354,0.046261605
AF06_FO.bmp,0.69314635,0.45419356,0.36053333,0.6512512,0.22424252,0.0,0.14611527,0.019855363,0.0,0.12959743,0.35325617,0.41315278,0.23537144,1.0,0.3550145,0.010382923,0.9998318,0.8798664,0.21556497,0.0663799
AF06_HC.bmp,0.6490999,0.552742,0.17618226,0.568069,0.34243846,0.0,0.11433622,0.35588923,1.0,0.60147697,0.6149394,0.20285334,0.5692014,0.0,0.8240166,0.34239727,0.15459245,0.21363986,0.50123805,0.07701651
AF06_HE.bmp,0.86337423,0.83856803,0.107519515,0.6209395,0.7631491,1.0,0.25717476,0.9150075,0.0,0.88746625,0.48846188,0.8232755,0.33744553,1.0,0.55734336,0.013182205,0.9980648,0.86950725,0.18517527,0.05301942
AF06_HO.bmp,0.5879834,0.5365257,0.22867063,0.35878304,0.869761,0.0,0.18977477,0.95425427,0.0,0.9755854,0.82409465,0.110376604,0.23843576,1.0,0.2422455,0.0668419,0.9997198,0.8280993,0.047379535,0.051953282
AF06_NC.bmp,0.57472837,0.290113,0.3461631,0.3371384,0.07736585,0.0,0.08939966,0.01841676,0.0,0.02951746,0.072202355,0.37062466,0.4124545,0.0,0.18883707,0.18679817,0.7453241,0.1927199,0.0854884,0.028668812
AF06_NO.bmp,0.6949601,0.3627153,0.22186859,0.33430472,0.09625583,0.0,0.0747773,0.024031645,0.0,0.03608697,0.11325566,0.31426266,0.3540349,1.0,0.2252793,0.044295907,0.99757606,0.8494225,0.105586186,0.082503505
AF06_SC.bmp,0.776302,0.5030661,0.7043416,0.5148861,0.07994628,0.0,0.07861879,0.0008895208,1.0,0.012563778,0.081618495,0.8418001,0.51108277,0.0,0.34861034,0.35366303,0.03245756,0.1429322,0.28569388,0.06347492
AF06_SO.bmp,0.596975,0.2834031,0.61159724,0.3875926,0.10154789,0.0,0.12029415,0.011115428,0.0,0.014516405,0.14548267,0.67289555,0.43596122,1.0,0.43327752,0.10607001,0.9954596,0.76376456,0.27751943,0.060387485
AF06_SUR.bmp,0.8016098,0.62357944,0.16665839,0.7556213,0.14641877,0.0,0.09367692,0.011405203,1.0,0.029453607,0.1726137,0.25967968,0.38146347,1.0,0.2990939,0.027574804,0.9975835,0.89560616,0.08533909,0.112726666
AF07_AC.bmp,0.36591426,0.34187818,0.33806062,0.22243889,0.4559783,0.0,0.4896704,0.12738596,0.0,0.2717918,0.20307973,0.93097615,0.69811773,0.0,0.79748845,0.75651413,0.009957832,0.29822063,0.66822755,0.66519934
AF07_AO.bmp,0.44912308,0.4129578,0.6009239,0.23219377,0.8037516,1.0,0.7991003,0.5622156,1.0,0.8130093,0.41187328,0.26513937,0.20757157,1.0,0.28213456,0.0078089293,0.99940825,0.7428643,0.00976328,0.2664521
AF07_CC.bmp,0.7459758,0.38915342,0.18457967,0.3963102,0.33870146,0.0,0.18072428,0.043669578,0.0,0.32698113,0.3803978,0.47679982,0.6460176,0.0,0.42314205,0.3901634,0.6809709,0.2495236,0.44109392,0.13711345
AF07_CO.bmp,0.7309078,0.4068378,0.1677806,0.31476924,0.5195377,1.0,0.2314381,0.6645673,0.0,0.6611275,0.49450368,0.58873737,0.57925653,1.0,0.4904094,0.030981895,0.93542993,0.8755406,0.05349528,0.14419216
AF07_DC.bmp,0.45900825,0.24914739,0.74140316,0.23558842,0.5856251,0.0,0.6801798,0.22235394,0.0,0.3923424,0.27366677,0.6456051,0.6867593,0.0,0.794941,0.6395545,0.020800319,0.5881712,0.24082413,0.5452856
AF07_DO.bmp,0.3178458,0.15955448,0.67504823,0.2599229,0.52242434,1.0,0.82841194,0.9835052,0.0,0.29408038,0.32675657,0.24281254,0.21780723,1.0,0.38955882,0.0076996027,0.9999176,0.972739,0.20658417,0.88340265
AF07_FC.bmp,0.8534224,0.6704224,0.1324891,0.48446363,0.2850371,0.0,0.22075859,0.52544403,0.0,0.26654503,0.25568274,0.7120119,0.646628,0.0,0.6680256,0.6103078,0.04901828,0.26568568,0.23644698,0.06558289
AF07_FO.bmp,0.88671166,0.71414286,0.5241745,0.4577161,0.51946217,1.0,0.35023823,0.90263534,1.0,0.67805046,0.3118371,0.61185527,0.20422617,1.0,0.5000474,0.0061664316,0.9999932,0.9079364,0.07659102,0.19997625
AF07_HC.bmp,0.6708567,0.2689038,0.1542307,0.21461429,0.73078716,0.0,0.30286592,0.010208842,0.0,0.85112906,0.45764765,0.43285728,0.7184284,0.0,0.6005203,0.34351754,0.29248145,0.56490886,0.13402466,0.06661388
AF07_HO.bmp,0.652322,0.26562804,0.08631161,0.24104819,0.9055245,1.0,0.38856608,0.793691,1.0,0.9766916,0.6750237,0.29919493,0.26953834,1.0,0.14001147,0.008485126,0.99930954,0.67134017,0.054302722,0.06859291
AF07_NC.bmp,0.6376222,0.36473015,0.09314974,0.40836835,0.22460859,0.0,0.09304137,0.02648641,1.0,0.13464457,0.47736484,0.75684255,0.68830854,0.0,0.45269027,0.46148807,0.049243785,0.13794655,0.18997341,0.06409104
AF07_NO.bmp,0.711002,0.3586849,0.30045918,0.36141616,0.2531484,0.0,0.13842437,0.105880104,0.0,0.24752417,0.37040395,0.59388727,0.5947617,0.0,0.54799074,0.049004722,0.9334237,0.78803134,0.08755129,0.07554888
AF07_SC.bmp,0.7942754,0.5611839,0.20649983,0.4693525,0.11224666,0.0,0.14152664,0.5044281,0.0,0.10975037,0.14164332,0.90047294,0.68320334,0.0,0.35367274,0.63849586,0.10048042,0.141248,0.19857262,0.108410336
AF07_SO.bmp,0.65022993,0.26396176,0.39691225,0.2602984,0.8727219,1.0,0.5103437,0.99285287,1.0,0.8202701,0.47476426,0.8897543,0.39608797,1.0,0.4407443,0.030958302,0.9777738,0.80245453,0.11739242,0.8650753
AF07_SUR.bmp,0.88287014,0.72145647,0.11341949,0.72033674,0.29437727,1.0,0.16848646,0.13336582,1.0,0.574913,0.49356267,0.32064167,0.19519994,1.0,0.3478295,0.005660566,0.9992322,0.92003435,0.0417255,0.1495811
AF08_AC.bmp,0.28034613,0.092775054,0.9387352,0.3236157,0.09988354,1.0,0.15500939,0.020287367,0.0,0.032401487,0.43376663,0.5346726,0.5420968,0.0,0.3054362,0.76861423,0.78467566,0.4567232,0.014925344,0.055826675
AF08_AO.bmp,0.21242337,0.040344756,0.91903836,0.23568559,0.7804901,1.0,0.7162612,0.18229155,1.0,0.6615035,0.3719655,0.17330903,0.3346261,1.0,0.18198809,0.014730544,0.9995235,0.4972083,0.04719697,0.2163655
AF08_CC.bmp,0.5072669,0.25365624,0.16561575,0.28425902,0.32198673,0.0,0.087117776,0.075240515,1.0,0.3500626,0.4789855,0.4568893,0.69707155,0.0,0.5601287,0.74900085,0.016319202,0.5143228,0.06594738,0.044869773
AF08_CO.bmp,0.4433888,0.21497253,0.38740695,0.3163962,0.48135233,1.0,0.23452415,0.103021085,1.0,0.563133,0.40251172,0.46142146,0.557307,0.0,0.4860243,0.26134154,0.97048134,0.40851042,0.009604058,0.08956855
AF08_DC.bmp,0.60290533,0.064462066,0.95864755,0.24453977,0.12763728,1.0,0.47311473,0.1865866,1.0,0.025075931,0.31678692,0.96456295,0.65135354,0.0,0.1804646,0.8723789,0.007654927,0.21173601,0.039135,0.7052664
AF08_DO.bmp,0.67974377,0.08915595,0.9719382,0.26210058,0.75064784,1.0,0.7759108,0.97136545,1.0,0.70266634,0.39795545,0.53439516,0.42484784,1.0,0.375549,0.009862831,0.99987817,0.8260896,0.3902749,0.33725315
AF08_FC.bmp,0.74051565,0.55919325,0.21732128,0.52083,0.12505023,0.0,0.100833125,0.14331143,0.0,0.14156274,0.5988117,0.87042576,0.7304493,0.0,0.5934984,0.88754296,0.10644501,0.4769897,0.62740123,0.042816333
AF08_FO.bmp,0.88447326,0.48189017,0.31670997,0.4315228,0.56381315,1.0,0.36967167,0.76887476,1.0,0.5494448,0.35655358,0.48590142,0.21236262,1.0,0.22350046,0.0072664293,0.9993825,0.806229,0.28594935,0.036676534
AF08_HC.bmp,0.5630108,0.3066885,0.30964836,0.2747166,0.443587,1.0,0.4761255,0.8467624,1.0,0.89610946,0.6255087,0.4000587,0.63852197,1.0,0.5253742,0.7046277,0.4071105,0.3616199,0.061599657,0.13157667
AF08_HE.bmp,0.5138915,0.20724054,0.4967704,0.261352,0.91460997,1.0,0.68589,0.9847948,1.0,0.98389834,0.75726014,0.6011018,0.27287263,1.0,0.25206575,0.012949142,0.99996185,0.71447575,0.01922517,0.22639619
AF08_HO.bmp,0.519584,0.23670246,0.34284696,0.24436872,0.92837745,1.0,0.51690847,0.83025855,1.0,0.97815484,0.7068651,0.33418012,0.29135776,1.0,0.10613649,0.022325823,0.99987614,0.19228703,0.04042519,0.2018202
AF08_NC.bmp,0.37765095,0.08787911,0.8169518,0.3521261,0.11390027,0.0,0.07693756,0.0052029695,0.0,0.033758868,0.17987971,0.19658487,0.6511123,0.0,0.3897535,0.7776495,0.30851218,0.2895554,0.30923924,0.03461216
AF08_NO.bmp,0.33867067,0.1444911,0.89801985,0.2908326,0.13641313,0.0,0.109647244,0.004058603,0.0,0.08132155,0.19937398,0.31344864,0.5264182,0.0,0.38060254,0.115665145,0.99858654,0.8351208,0.0428555,0.050659698
AF08_SC.bmp,0.40047252,0.09782457,0.8447392,0.3608124,0.12726523,0.0,0.10793743,0.14855675,1.0,0.03688164,0.26493394,0.69855386,0.7185895,0.0,0.20235842,0.5953865,0.03984173,0.20824735,0.03145282,0.03264165
AF08_SO.bmp,0.5328467,0.055665884,0.97005713,0.2138851,0.24637033,1.0,0.6904023,0.18661031,1.0,0.08056027,0.27146003,0.5652445,0.44212842,0.0,0.24009879,0.027682249,0.94561785,0.432171,0.04155459,0.9120998
AF08_SUR.bmp,0.86213183,0.5134593,0.5245651,0.3524842,0.5681062,0.0,0.17745909,0.19078307,0.0,0.6459145,0.29059383,0.27155757,0.24923515,1.0,0.22314723,0.019556837,0.99943143,0.7336941,0.072994836,0.05555921
